rank,score,survived_all,kp_length,kd_length,kp_angle,kd_angle,mean_vx_mae_mps,mean_yaw_mae_radps,mean_height_mae_m,mean_length_tracking_rmse_m,mean_angle_tracking_rmse_rad,mean_tilt_p90_deg,max_tilt_deg,mean_leg_saturation_fraction,max_closure_residual_m
82,2.9538059078944743,True,750.0,20.0,65.0,8.0,0.18147470713449923,0.040429271100978534,0.01284060324462829,0.015875781228009,0.04632440313813727,0.9347989925531274,2.017216336408971,0.0,0.0004618212877081007
83,2.9553372158057947,True,900.0,10.0,50.0,1.5,0.2001116018233877,0.04175769546499236,0.014001624434008575,0.014552461365508407,0.04639855325591173,1.0196731462728528,3.016066813139994,0.0,0.00048426224206935627
84,2.960329773016176,True,900.0,10.0,50.0,3.0,0.1998085911732882,0.04205286561471962,0.013973865389726758,0.014522185270898432,0.04868064188965269,0.8935575358743304,2.4285407225995037,0.0,0.0004834320007352757
85,2.974119877011103,True,750.0,50.0,50.0,5.0,0.2007955707187469,0.0416744750690208,0.012655578808982557,0.015075834894690584,0.051930570966024735,0.7944701342678226,1.5820787384996804,0.0,0.0004529239737598879
86,2.976274398389571,True,900.0,20.0,50.0,8.0,0.20049506559003655,0.042729534477886355,0.013692355824300157,0.013974013565980603,0.05725340802433719,0.8603097029654587,2.388533232195684,0.0,0.0004817682551239095
87,2.990381269321982,True,900.0,10.0,50.0,5.0,0.1998480033735022,0.04249164722746303,0.013954027956610071,0.014555136413389435,0.05244590700150662,0.835317265817965,2.0113516684806654,0.0,0.0004841810898954539
88,3.0004327204441403,True,600.0,40.0,80.0,6.0,0.17005556755395365,0.0380688604969919,0.011064443499730727,0.01864065999921108,0.03586233693093809,1.1133026429894595,2.435731565900533,6.9367369589345175e-06,0.00044136058579449415
89,3.003814125756773,True,1050.0,30.0,35.0,2.0,0.23261023541980666,0.04549126707432667,0.014337661641150872,0.012151814680329578,0.06568194644182335,0.6488238423076513,1.8950723261381535,0.0,0.0004895009266526086
90,3.0172184116734813,True,750.0,20.0,50.0,1.5,0.20094739190983069,0.04150100517341909,0.01301976518942798,0.0158154539328927,0.04618115422115125,0.973899221731849,2.8473475785861964,0.0,0.00045692298590352143
91,3.0257333712588546,True,750.0,50.0,50.0,8.0,0.2014837072050732,0.04246902837799502,0.012593980348204952,0.01511256439425739,0.0568736984111909,0.8569816990119437,2.3691805998063464,0.0,0.0004533915584636289
