rank,score,survived_all,kp_length,kd_length,kp_angle,kd_angle,mean_vx_mae_mps,mean_yaw_mae_radps,mean_height_mae_m,mean_length_tracking_rmse_m,mean_angle_tracking_rmse_rad,mean_tilt_p90_deg,max_tilt_deg,mean_leg_saturation_fraction,max_closure_residual_m
75,2.406859475628921,True,1350.0,60.0,80.0,8.0,0.16518863162805025,0.03843268063215262,0.014387248125294,0.009864676847494881,0.03898718590680535,1.000590306835373,1.884056710471992,9.609508218004721e-05,0.0005174245384111739
76,2.410476456960835,True,1200.0,150.0,120.0,16.0,0.1483475530502223,0.035909244545049165,0.014345429992577425,0.01071943010249253,0.03657871147611874,1.1368764134635545,2.4344778316842497,2.634852381806864e-05,0.0005007128034212474
77,2.411283960045986,True,1200.0,150.0,100.0,10.0,0.15462252459739081,0.03610005356744346,0.014419715507680784,0.010698462920413756,0.03495964489222143,1.0710090011912747,1.965612182858679,2.634852381806864e-05,0.0004968675291394891
78,2.414643845934158,True,1200.0,150.0,90.0,7.0,0.15920296142227874,0.03621371218763525,0.014467713001112312,0.010687762436015462,0.033912819454553496,1.0435789760657785,1.8660274077444385,1.3873473917869035e-05,0.0004951430579767388
79,2.4236999527708885,True,1200.0,100.0,80.0,6.0,0.16530718263338992,0.0372930861196719,0.014191149679815992,0.010515078537386459,0.03593584106817451,1.0037542563683306,1.8306108561035113,6.9367369589345175e-06,0.0005017859431694796
80,2.424608625009141,True,1200.0,150.0,80.0,4.0,0.1649888866854706,0.03635435819784877,0.014525996212167915,0.010685797664013182,0.032851742323866506,1.0392524478690393,2.4830503421578913,1.3873473917869035e-05,0.000493116832404683
81,2.4466047617155335,True,1200.0,50.0,80.0,6.0,0.1651755057549637,0.03802780793788832,0.014162985766023066,0.010767147278554046,0.03603722217499308,1.003979653435676,1.822602171112536,1.5852571481045788e-05,0.0005109271424566035
82,2.474606023125096,True,1200.0,150.0,80.0,8.0,0.1658480538379098,0.03733615510263871,0.014478473370006718,0.010689100439826488,0.038776521176111425,0.9983549011913417,1.8664748548407597,6.9367369589345175e-06,0.0004935752904303578
83,2.475683917542275,True,1200.0,100.0,80.0,10.0,0.16639691728161943,0.038156907380248795,0.014136905056507972,0.010533168323019213,0.041539794222433674,1.003198970534633,2.163612765931456,6.9367369589345175e-06,0.0005026738039212145
84,2.479650232928865,True,1200.0,100.0,65.0,3.0,0.17766181256311253,0.03821445638338718,0.014290703228103968,0.010514126055819492,0.03790923306556846,0.9713754829236464,2.4668301783451323,0.0,0.0004982194045222502
85,2.500136708787586,True,1200.0,50.0,80.0,10.0,0.16626899429140501,0.03879493671851712,0.014122142158244706,0.01079160113530318,0.04171912185555332,1.00514793846847,2.1720020355509364,1.5852571481045788e-05,0.0005120624618372347
86,2.5022294865271903,True,1200.0,50.0,65.0,3.0,0.17758432018826636,0.03898764559136729,0.014255798769722678,0.010764671979827785,0.03798663487288946,0.9725238744902742,2.4169623128968354,0.0,0.0005072118618960214
87,2.50421774583384,True,1200.0,100.0,65.0,5.0,0.17816642191819093,0.03874560855781182,0.0142586071706306,0.010507281032224093,0.041205960446517156,0.9202170517199951,1.6819691512231805,0.0,0.000498809369113554
88,2.5072732509565863,True,1050.0,60.0,80.0,6.0,0.16586212719026294,0.03763060246943062,0.013753174461237878,0.011691854633445888,0.035981766645907576,1.00296596116975,1.8273321333111787,6.9367369589345175e-06,0.0004944406112288507
89,2.527166961494039,True,1200.0,50.0,65.0,5.0,0.17805574301849675,0.0394407266374692,0.014233780610049186,0.010760582574193283,0.041308297815704643,0.9199790917795951,1.6790590013161644,0.0,0.000507951359411999
90,2.5475775750564966,True,1200.0,100.0,65.0,8.0,0.17893201189330826,0.03946993754848522,0.014207826933103993,0.010522162006933636,0.04590493176603006,0.9249094509699975,2.0351028075415045,0.0,0.0004998458817623894
91,2.560021092357176,True,1050.0,30.0,80.0,6.0,0.1658114113709025,0.03828814097077947,0.013951741281765247,0.012189178185832192,0.036130930104657275,1.0038253739008243,1.8815838943683918,6.9367369589345175e-06,0.0005003353345538119
92,2.5602155973189107,True,1050.0,60.0,80.0,10.0,0.1668652423105123,0.03844602464859826,0.013707849593966395,0.01171527402886361,0.041644357608874305,1.0033421565183065,2.1650167966904985,6.9367369589345175e-06,0.0004950309574755735
93,2.5629930280525377,True,1050.0,60.0,65.0,3.0,0.17827933548820174,0.03857952545581474,0.013849099510955077,0.011687916209514157,0.03793192390172977,0.971624593856804,2.431670288122037,0.0,0.0004909860997678683
94,2.571952481547378,True,1200.0,50.0,65.0,8.0,0.1788245450815339,0.040074771189426275,0.014195303395792967,0.010780562466047215,0.046074307520630006,0.9275728229623341,2.0415946651706065,0.0,0.0005092162652008905
95,2.5877148644518666,True,1050.0,60.0,65.0,5.0,0.17871210108523267,0.03906704949663109,0.01382421538052634,0.011684086463495263,0.04125304311008691,0.9176101991925842,1.7138568822378755,0.0,0.0004913416034471159
96,2.5954199124878907,True,900.0,80.0,80.0,6.0,0.1667660446562173,0.03714128323929073,0.013256736626632456,0.012984517263790938,0.035904790349670035,1.0026323726647317,1.9299816181184255,6.9367369589345175e-06,0.000474107623636799
97,2.6101172235831602,True,1200.0,100.0,50.0,1.5,0.19717954511228453,0.04033625275160664,0.014419735371293794,0.010521920727229999,0.046029738267020066,0.9011474940737333,2.9610280961227744,0.0,0.0004944643430700897
98,2.6141648175279943,True,1050.0,30.0,80.0,10.0,0.16682179011395049,0.03900552955575568,0.013913779388822113,0.012221657247889922,0.04183878046549707,1.0051705861180924,2.171280298631508,6.9367369589345175e-06,0.0005009861649529102
99,2.6157847628545317,True,1050.0,30.0,65.0,3.0,0.17832955021063068,0.0392839613553352,0.014042628386081083,0.012182346222642292,0.03805613839418283,0.9754810054398481,2.396343858602952,0.0,0.0004970387470727506
100,2.6215425245779276,True,1200.0,100.0,50.0,3.0,0.1977171872416636,0.04068723960339842,0.014383146346787393,0.010497781863253567,0.04824676201590187,0.8257774083547444,1.8217036738411616,0.0,0.0004950472390227848
101,2.630293161038476,True,900.0,40.0,80.0,6.0,0.16679220027501265,0.0378269811215658,0.013331198438652209,0.013324910159533292,0.036044404161792075,1.002690729183728,1.9439191149449937,6.9367369589345175e-06,0.00048169206674076936
102,2.6320672564035448,True,1050.0,60.0,65.0,8.0,0.17940305473766588,0.03974687435827134,0.013781726055714809,0.011703735756249285,0.04600101818227549,0.9249041445717666,2.0313993615681483,0.0,0.0004921560577463635
103,2.633128086712397,True,1200.0,50.0,50.0,1.5,0.19716065094475693,0.041102681940833205,0.01438039300687543,0.010777519367951023,0.04613163706336401,0.9003642986504232,2.8944064518305312,0.0,0.0005034706987630265
104,2.6406127659857717,True,1050.0,30.0,65.0,5.0,0.17867893582271302,0.03969646117752552,0.01402395807891524,0.012182146253641266,0.041399327740549816,0.9197808966596615,1.8345430251147752,0.0,0.0004972713303653517
105,2.6444279953737264,True,1200.0,50.0,50.0,3.0,0.19766559305616163,0.04135382369442553,0.014357198645309465,0.010751719480413983,0.04834048629434448,0.824653489470896,1.78312899543731,0.0,0.0005041362371897511
106,2.64755833209704,True,900.0,80.0,80.0,10.0,0.16768654431110624,0.038023553043028395,0.013205747235459305,0.013005828588904408,0.041528588919634846,1.0022263533105582,2.15240522186344,6.9367369589345175e-06,0.000474001375042433
107,2.650812591966246,True,1200.0,100.0,50.0,5.0,0.1982300217730077,0.04126830094383582,0.014340441134079177,0.010499451379781116,0.05187338145574084,0.7923599067680491,1.6054730187672233,0.0,0.0004959844187082533
108,2.6509799339725877,True,900.0,80.0,65.0,3.0,0.17913856879565224,0.03808321146452959,0.013355133195317202,0.012978065808835463,0.03787558773121839,0.9704484461008033,2.456830470305343,0.0,0.0004709007404244327
109,2.674609363559915,True,1200.0,50.0,50.0,5.0,0.1981450604456614,0.04184353918926634,0.014325660097133156,0.010756546958794543,0.0520033920395095,0.794822856213379,1.6162862719711593,0.0,0.0005052208437297276
110,2.675821976794504,True,900.0,80.0,65.0,5.0,0.17956773325219322,0.03861874668071606,0.013326872435773188,0.012974434870103961,0.04118010044217816,0.9191621735944466,1.8178704809278097,0.0,0.0004708314408590048
111,2.683890716835081,True,900.0,40.0,80.0,10.0,0.16765278447169335,0.03861153792461144,0.013290092931512393,0.013354617402944743,0.041751650619835205,1.0042721369463161,2.16217433456013,6.9367369589345175e-06,0.00048187553700422656
112,2.6858519415855118,True,900.0,40.0,65.0,3.0,0.17928632422226498,0.03880114466254216,0.013425339415245846,0.013316143725396743,0.03796449476167346,0.9744617040218512,2.4109485631810696,0.0,0.0004783506943704452
113,2.6858927336633713,True,1050.0,30.0,65.0,8.0,0.17937112928309998,0.040283294214103954,0.013988259242505574,0.01220961910016096,0.046185544796481626,0.9269757294782133,2.037025413316612,0.0,0.0004981175192463214
114,2.6937098217956144,True,1050.0,60.0,50.0,1.5,0.19782573877365614,0.040707132359103546,0.013976071993147182,0.011696835503620336,0.046063093160216645,0.9019764328766623,2.9078899493120405,0.0,0.00048723112802402256
115,2.6952064308177635,True,900.0,20.0,80.0,6.0,0.16688750028361543,0.038353252210913104,0.013573896060600943,0.013934182020024157,0.03625453572082605,1.0105518191652494,2.1094148828631827,6.9367369589345175e-06,0.0004868663542433253
116,2.7017203994070185,True,1200.0,100.0,50.0,8.0,0.19926777041297647,0.042058822743190644,0.01426781118830557,0.010523256624260078,0.056769954548927457,0.8574525908864787,2.3924891300296847,0.0,0.0004982646399762301
117,2.7050341920818317,True,1050.0,60.0,50.0,3.0,0.19829226698112168,0.041000358390605805,0.013949452253625861,0.011672629288901035,0.04828542117732416,0.8248954702025715,1.8191683830679415,0.0,0.0004875171743118896
118,2.71070530094951,True,900.0,40.0,65.0,5.0,0.17961437550713483,0.039258753256075835,0.013404836346424209,0.013316285188750459,0.041314826572237756,0.9178170286486156,1.8637590183917498,0.0,0.00047842053510970293
119,2.719217938134563,True,900.0,80.0,65.0,8.0,0.18019793744386964,0.03936318161872721,0.013279065868742428,0.012992594852320596,0.04589193205103165,0.9221333203700024,2.0121241781595742,0.0,0.0004710995737829994
120,2.727047571952446,True,1200.0,50.0,50.0,8.0,0.19920431375615344,0.042528621502124234,0.014268590922347373,0.010785155603669204,0.05699568918293475,0.8599156527297054,2.3989616423472095,0.0,0.0005080361152198777
121,2.734804888519112,True,1050.0,60.0,50.0,5.0,0.19872350133441236,0.04153480716907029,0.013914645972944964,0.01167812984592934,0.05194239161232138,0.7914901126830514,1.607286449225015,0.0,0.0004882846388708113
122,2.7475241171337093,True,750.0,50.0,80.0,6.0,0.1681679301896979,0.037691514715547714,0.012479185978325136,0.01509998818635647,0.03595013119241389,1.0110282268496817,2.0505533034762324,6.9367369589345175e-06,0.00046020509615493654
